"Source (en)";"Target (ru)";"Comment"
"icon";"пиктограмма";"graphic symbol, displayed on a screen, to which a user can point with a device, such as a mouse, in order to select a particular function or software application"
"job";"задание";"unit of work that is defined by a user and that is to be accomplished by a computer"
"kernel";"ядро";"that part of a control program that is resident in main storage"
"label";"метка";"identifier for a location in a program"
"machine learning";"машинное обучение";"process by which a functional unit improves its performance by acquiring new knowledge or skills, or by reorganizing existing knowledge or skills"
"node";"узел";"in a network, entity that is connected to one or more other entities"
"object code";"объектный код";"final version of code prior to execution"
"packet";"пакет";"sequence of bits arranged in a specific format, containing control data and possibly user data, and that is transmitted and switched as a whole"
"queue";"очередь";"list that is constructed and maintained so that the next item to be retrieved is the one inserted earliest"
"router";"маршрутизатор";"functional unit that establishes a path through one or more computer networks"
"scanner";"сканирующее устройство";"device that examines a special pattern, one part after another, and generates analog or digital signals corresponding to the pattern"
"table";"таблица";"arrangement of data in which each item may be identified by means of arguments or keys"
"upload";"загрузка";"transfer programs or data from a connected computer to a computer with greater resources, typically from a personal computer to a mainframe"
"virtual machine";"виртуальная машина";"virtual data processing system that appears to be at the exclusive disposal of a particular user, but whose functions are accomplished by sharing the resources of a real data processing system"
"workstation";"рабочая станция";"functional unit that usually has special purpose computing capabilities and includes user-oriented input units and output units"
